Pelayanan Kesehatan Human Immunodeficiency Virus,,,,,,,,
,,,,,,,,
kode_kabupaten,kode_kecamatan,nama_kabupaten,nama_kecamatan,tahun,jenis_kelamin,keterangan,jumlah_pasien_hiv,satuan
3601,3601101,Pandeglang,Cisata,2021,Perempuan,Jumlah yang mendapatkan pelayanan,280,orang
3601,3601130,Pandeglang,Jiput,2021,Perempuan,Jumlah yang mendapatkan pelayanan,482,orang
3601,3601171,Pandeglang,Kaduhejo,2021,Perempuan,Jumlah yang mendapatkan pelayanan,522,orang
3601,3601191,Pandeglang,Karangtanjung,2021,Perempuan,Jumlah yang mendapatkan pelayanan,320,orang
3601,3601192,Pandeglang,Koroncong,2021,Perempuan,Jumlah yang mendapatkan pelayanan,266,orang
3601,3601120,Pandeglang,Labuan,2021,Perempuan,Jumlah yang mendapatkan pelayanan,652,orang
3601,3601181,Pandeglang,Majasari,2021,Perempuan,Jumlah yang mendapatkan pelayanan,782,orang
3601,3601150,Pandeglang,Mandalawangi,2021,Perempuan,Jumlah yang mendapatkan pelayanan,884,orang
3601,3601172,Pandeglang,Mekarjaya,2021,Perempuan,Jumlah yang mendapatkan pelayanan,409,orang
3601,3601140,Pandeglang,Menes,2021,Perempuan,Jumlah yang mendapatkan pelayanan,751,orang
3601,3601070,Pandeglang,Munjul,2021,Perempuan,Jumlah yang mendapatkan pelayanan,500,orang
3601,3601110,Pandeglang,Pagelaran,2021,Perempuan,Jumlah yang mendapatkan pelayanan,677,orang
3601,3601180,Pandeglang,Pandeglang,2021,Perempuan,Jumlah yang mendapatkan pelayanan,340,orang
3601,3601060,Pandeglang,Panimbang,2021,Perempuan,Jumlah yang mendapatkan pelayanan,765,orang
3601,3601111,Pandeglang,Patia,2021,Perempuan,Jumlah yang mendapatkan pelayanan,594,orang
3601,3601080,Pandeglang,Picung,2021,Perempuan,Jumlah yang mendapatkan pelayanan,560,orang
3601,3601141,Pandeglang,Pulosari,2021,Perempuan,Jumlah yang mendapatkan pelayanan,567,orang
3601,3601100,Pandeglang,Saketi,2021,Perempuan,Jumlah yang mendapatkan pelayanan,696,orang
3601,3601072,Pandeglang,Sindangresmi,2021,Perempuan,Jumlah yang mendapatkan pelayanan,551,orang
3601,3601061,Pandeglang,Sobang,2021,Perempuan,Jumlah yang mendapatkan pelayanan,479,orang
3601,3601112,Pandeglang,Sukaresmi,2021,Perempuan,Jumlah yang mendapatkan pelayanan,520,orang
3601,3601010,Pandeglang,Sumur,2021,Perempuan,Jumlah yang mendapatkan pelayanan,299,orang
,,,,,,,,
keterangan:,,,,,,,,
kolom jumlah pasien HIV adalah data orang dengan risiko HIV yang mendapatkan pelayanan sesuai standar,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
